State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes
de,Kent County,D,10,10001,John Carney,49.68,35954
de,Kent County,R,10,10001,Colin Bonini,48.05,34777
de,Kent County,Grn,10,10001,Andrew Groff,1.15,835
de,Kent County,Lib,10,10001,Sean Goward,1.11,805
de,New Castle County,D,10,10003,John Carney,66.21,165973
de,New Castle County,R,10,10003,Colin Bonini,31.05,77837
de,New Castle County,Grn,10,10003,Andrew Groff,1.54,3884
de,New Castle County,Lib,10,10003,Sean Goward,1.18,2978
de,Sussex County,R,10,10005,Colin Bonini,52.79,54235
de,Sussex County,D,10,10005,John Carney,45.23,46475
de,Sussex County,Grn,10,10005,Andrew Groff,1.19,1232
de,Sussex County,Lib,10,10005,Sean Goward,0.77,794
in,Adams County,R,18,18001,Eric Holcomb,64.42,8403
in,Adams County,D,18,18001,John Gregg,32.74,4271
in,Adams County,Lib,18,18001,Rex Bell,2.83,370
in,Allen County,R,18,18003,Eric Holcomb,54.78,80334
in,Allen County,D,18,18003,John Gregg,42.16,61823
in,Allen County,Lib,18,18003,Rex Bell,3.04,4465
in,Bartholomew County,R,18,18005,Eric Holcomb,59.46,19060
in,Bartholomew County,D,18,18005,John Gregg,37.03,11869
in,Bartholomew County,Lib,18,18005,Rex Bell,3.5,1122
in,Benton County,R,18,18007,Eric Holcomb,63.17,2318
in,Benton County,D,18,18007,John Gregg,32.73,1201
in,Benton County,Lib,18,18007,Rex Bell,4.08,150
in,Blackford County,R,18,18009,Eric Holcomb,56.78,2719
in,Blackford County,D,18,18009,John Gregg,38.76,1856
in,Blackford County,Lib,18,18009,Rex Bell,4.44,213
in,Boone County,R,18,18011,Eric Holcomb,59.94,19269
in,Boone County,D,18,18011,John Gregg,36.91,11868
in,Boone County,Lib,18,18011,Rex Bell,3.13,1009
in,Brown County,R,18,18013,Eric Holcomb,56.36,4487
in,Brown County,D,18,18013,John Gregg,40.21,3201
in,Brown County,Lib,18,18013,Rex Bell,3.41,272
in,Carroll County,R,18,18015,Eric Holcomb,62.16,5381
in,Carroll County,D,18,18015,John Gregg,33.75,2922
